Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
belledenise1;0;1;1;F1;0;-2.361220603;-4.723028589;129.58;0
belledenise1;0;1;1;F2;0;-9.768583237;-5.518942411;125.05;0
belledenise1;0;1;1;F3;0;-10.8895935;-12.4133703;123.71;0
belledenise1;0;1;1;F4;0;-6.140220131;-15.14473491;114.4;0
belledenise1;0;1;1;F5;0;-1.187843108;-18.33007034;120.73;0
belledenise1;0;1;1;1;20;4.215302427;-3.779447732;129.23;1.256768362
belledenise1;0;1;1;p;0;-1.129500672;6.303546855;129.39;0.200934523
belledenise1;0;1;1;F1;0;-6.878633298;15.7592316;129.78;0
belledenise1;0;1;1;F2;0;-11.55633975;18.35545238;121.05;0
belledenise1;0;1;1;F3;0;-3.658234504;14.85202071;112.7;0
belledenise1;0;1;1;F4;0;4.386206317;17.03355042;120.33;0
belledenise1;0;1;1;F5;0;3.080236911;16.90927689;127.75;0
belledenise1;0;1;1;1;21;1.893212819;-1.221558005;134.1;1.22694928
belledenise1;0;1;1;p;0;-0.421651146;-11.71259727;139.26;0.227173591
belledenise1;0;1;1;F1;0;-7.059416548;-10.79511677;147.01;0
belledenise1;0;1;1;F2;0;-14.67191215;-13.06280519;139.58;0
belledenise1;0;1;1;F3;0;-11.95337314;-18.03432866;133.38;0
belledenise1;0;1;1;F4;0;-1.995325641;-22.74736272;138.04;0
belledenise1;0;1;1;F5;0;3.199685189;-15.62376374;139.31;0
belledenise1;0;1;1;1;22;4.86892136;-0.959911903;143.98;1.200401323
belledenise1;0;1;1;p;0;5.556067533;4.379182603;148.06;0.191333794
belledenise1;0;1;1;F1;0;-0.80941099;8.140403571;152.73;0
belledenise1;0;1;1;F2;0;-5.358034317;13.07599126;143.37;0
belledenise1;0;1;1;F3;0;-1.940698355;10.17323138;134.98;0
belledenise1;0;1;1;F4;0;2.50763814;18.98531413;136.98;0
belledenise1;0;1;1;F5;0;4.809070033;17.98590869;144.88;0
belledenise1;0;1;1;1;23;5.178846661;-2.39829513;153.77;1.164774218
belledenise1;0;1;1;p;0;9.49455481;-14.01929608;157.63;0.198923899
belledenise1;0;1;1;F1;0;-1.023239297;-14.58001626;159.68;0
