Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
salice1;0;1;1;F3;0;-3.89;-3.43;117.07;0
salice1;0;1;1;F4;0;-1.03;-7.92;120.38;0
salice1;0;1;1;F5;0;1.42;-6.8;126.12;0
salice1;0;1;1;1;25;4.81;5.09;135.98;1.47679543
salice1;0;1;1;p;0;0.51;10.57;134.62;0.209457884
salice1;0;1;1;F1;0;-6.02;8.85;134.36;0
salice1;0;1;1;F2;0;-6.07;9.28;128.73;0
salice1;0;1;1;F3;0;-3.86;10.52;127.15;0
salice1;0;1;1;F4;0;-0.78;17.11;128.1;0
salice1;0;1;1;F5;0;6.38;14.11;132.99;0
salice1;0;1;1;1;26;4.44;2.88;145.08;1.474897036
salice1;0;1;1;1;27;3.51;4.46;154.98;1.437351177
salice1;0;1;1;p;0;0.17;8.68;157.36;0.169199995
salice1;0;1;1;F1;0;-4.98;10.21;160.74;0
salice1;0;1;1;F2;0;-7.37;14.42;156.17;0
salice1;0;1;1;F3;0;-4.21;11.93;150.13;0
salice1;0;1;1;F4;0;0.32;14.12;151.93;0
salice1;0;1;1;F5;0;4.92;12.2;155.97;0
salice1;0;1;1;1;28;6.39;1.27;161.94;1.423235106
salice1;0;1;1;p;0;10.33;8.39;158.77;0.214127633
salice1;0;1;1;F1;0;15.43;7.25;157.78;0
salice1;0;1;1;F2;0;15.75;11.1;152.54;0
salice1;0;1;1;F3;0;11.41;10.87;149.4;0
salice1;0;1;1;F4;0;5.11;9.77;153.02;0
salice1;0;1;1;F5;0;4.6;9.84;157.15;0
salice1;0;1;1;1;29;0.84;1.5;170.67;1.414108662
salice1;0;1;1;1;30;1.72;0.55;179.47;1.359435998
salice1;0;1;1;p;0;3.72;5.51;179.16;0.223323255
salice1;0;1;1;F1;0;-1.35;5.66;176.62;0
salice1;0;1;1;F2;0;0.28;5.64;173.81;0
salice1;0;1;1;F3;0;4.3;5.92;173.46;0
salice1;0;1;1;F4;0;9.39;12.03;173.06;0
salice1;0;1;1;F5;0;8.61;11.62;178.01;0
salice1;0;1;1;1;31;-2.42;0.08;187.36;1.306263294
