time;Tac;hs;u;Rg;Tsoil;
2019-01-07 22:00;2.763;60.14;0.006;0;5.763;
2019-01-07 23:00;1.351;68.85;0;0;4.351;
2019-01-08 00:00;0.74;71.8;0.008;0;3.74;
2019-01-08 01:00;0.268;73.1;0.01;0;3.268;
2019-01-08 02:00;0.142;73.2;0;0;3.142;
2019-01-08 03:00;-0.129;73.5;0;0;2.871;
2019-01-08 04:00;-0.672;74.3;0;0;2.328;
2019-01-08 05:00;-0.944;77.8;0;0;2.056;
2019-01-08 06:00;-1.216;76.5;0;0;1.784;
2019-01-08 07:00;-0.672;79.3;0;0;2.328;
2019-01-08 08:00;-0.129;78;0;0;2.871;
2019-01-08 09:00;4.888;57.72;0.685;0.222222222;7.888;
2019-01-08 10:00;5.957;54.24;1.701;20.38888889;15.957;
2019-01-08 11:00;7.98;50.76;3.093;127.8055556;22.98;
2019-01-08 12:00;8.91;47.35;2.879;227.7777778;28.91;
2019-01-08 13:00;10.65;43.94;3.309;415.5555556;30.65;
2019-01-08 14:00;11.11;47.86;3.675;344.7222222;31.11;
2019-01-08 15:00;9.96;47.11;3.029;339.1666667;29.96;
2019-01-08 16:00;9.83;48.48;3.379;186.6944444;29.83;
2019-01-08 17:00;10.25;49.23;3.55;106.25;25.25;
2019-01-08 18:00;10.25;49.91;3.334;47.47222222;16.25;
2019-01-08 19:00;9.1;52.29;1.947;1.061111111;14.1;
2019-01-08 20:00;9.18;50.26;2.123;0;13.18;
2019-01-08 21:00;9.86;49.45;2.647;0;12.86;
2019-01-08 22:00;9.72;47.75;1.499;0;12.72;
2019-01-08 23:00;9.79;48.77;1.991;0;12.79;
2019-01-09 00:00;8.91;48.5;0.636;0;11.91;
2019-01-09 01:00;8.37;41.18;0.911;0;11.37;
2019-01-09 02:00;7.9;42.26;0.266;0;10.9;
2019-01-09 03:00;6.005;48.24;0.014;0;9.005;
2019-01-09 04:00;6.692;45.54;0.339;0;9.692;
2019-01-09 05:00;6.624;46.42;0.296;0;9.624;
2019-01-09 06:00;5.265;48.12;0.426;0;8.265;
2019-01-09 07:00;6.757;45.26;1.293;0;9.757;
2019-01-09 08:00;6.752;44.65;2.196;0;9.752;
2019-01-09 09:00;6.209;47.5;1.709;0;9.209;
2019-01-09 10:00;6.412;46.55;1.21;10.85555556;16.412;
2019-01-09 11:00;7.84;39.9;2.042;94.41666667;22.84;
2019-01-09 12:00;8.77;33.04;2.487;283.3333333;28.77;
2019-01-09 13:00;10.45;27.94;2.209;388.0555556;30.45;
2019-01-09 14:00;9.97;27.39;2.778;436.1111111;29.97;
2019-01-09 15:00;10.09;26.23;2.775;425.5555556;30.09;
2019-01-09 16:00;9.82;26.91;2.873;357.7777778;29.82;
